001:06:03.642,,,,PROBE,PROBE4,VARIABLE,ARENA1_ZONE1_ORANON,ARENA1_ZONE2_MAGCS,ARENA2_ZONE1_ORANON,ARENA2_ZONE2_MAGCS,ARENA3_ZONE1_ORANON,ARENA3_ZONE2_MAGCS,ARENA4_ZONE1_ORANON,ARENA4_ZONE2_MAGCS
001:06:03.643,,,,,,ZONE_DISTANCES,790,0,6438,969,4862,2738,1322,940
001:06:03.643,,,,,,ZONE_TIMERS,60.056,0,53.259,6.796,44.291,15.764,31.248,28.807
001:06:03.644,,,,,,ZONE_COUNTERS,1,0,5,5,12,11,4,4
001:06:03.644,,,,,,,ARENA1,ARENA2,ARENA3,ARENA4,,,,
001:06:03.645,,,,,,TOTAL_ARENA_DISTANCES,790,7407,7600,2263,,,,
001:07:03.749,,,,PROBE,PROBE5,VARIABLE,ARENA1_ZONE1_MAGCS,ARENA1_ZONE2_ORANON,ARENA2_ZONE1_MAGCS,ARENA2_ZONE2_ORANON,ARENA3_ZONE1_MAGCS,ARENA3_ZONE2_ORANON,ARENA4_ZONE1_MAGCS,ARENA4_ZONE2_ORANON
001:07:03.749,,,,,,ZONE_DISTANCES,2067,2237,963,6005,862,3306,1218,4804
001:07:03.749,,,,,,ZONE_TIMERS,10.438,49.667,3.949,56.156,5.481,54.624,12.164,47.941
001:07:03.750,,,,,,ZONE_COUNTERS,6,6,5,5,5,5,5,5
001:07:03.750,,,,,,,ARENA1,ARENA2,ARENA3,ARENA4,,,,
001:07:03.751,,,,,,TOTAL_ARENA_DISTANCES,4304,6968,4169,6021,,,,
001:07:03.861,,,,PROBE,TOTALPROBE,VARIABLE,ARENA1_ZONE1,ARENA1_ZONE2,ARENA2_ZONE1,ARENA2_ZONE2,ARENA3_ZONE1,ARENA3_ZONE2,ARENA4_ZONE1,ARENA4_ZONE2
001:07:03.861,,,,,,ZONE_DISTANCES,6239,4354,7887,12438,12841,16504,8167,17387
001:07:03.862,,,,,,ZONE_TIMERS,239.667,61.03,64.361,236.336,123.792,176.905,106.666,194.031
001:07:03.862,,,,,,ZONE_COUNTERS,11,11,16,17,41,41,26,26
001:07:03.863,,,,,,,ARENA1,ARENA2,ARENA3,ARENA4,,,,
001:07:03.863,,,,,,TOTAL_ARENA_DISTANCES,10593,20326,29345,25554,,,,
001:07:03.864,Info,27/6/19 3:24,Service 'MAGORA' : Execution end,,,,,,,,,,,
